,Sample,fastq1,fastq2,Rnase
1,50_rar16_re,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/50_rar16_re_S36_L002_R1_001.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/50_rar16_re_S36_L002_R2_001.fastq.gz,True
2,100_rar16_re,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/100_rar16_re_S37_L002_R1_001.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/100_rar16_re_S37_L002_R2_001.fastq.gz,True
3,200_rar14_re,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/200_rar14_re_S38_L002_R1_001.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/200_rar14_re_S38_L002_R2_001.fastq.gz,True
4,500_rar14_re,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/500_rar14_re_S39_L002_R1_001.fastq.gz,/tscc/projects/ps-yeolab4/seqdata/tao/isstamp08/igm-storage.ucsd.edu/230328_A01535_0294_AHVVYFDSX5/500_rar14_re_S39_L002_R2_001.fastq.gz,True
