,fastq1,fastq2,Sample,Rnase
0,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/SG_rep2_S61_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/SG_rep2_S61_L006_R2_001.fastq.gz,SG_rep2,True
1,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/SG_rep1_S60_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/SG_rep1_S60_L006_R2_001.fastq.gz,SG_rep1,True
2,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/nostress_rep2_S57_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/nostress_rep2_S57_L006_R2_001.fastq.gz,nostress_rep2,True
3,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/stress_rep1_S58_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/stress_rep1_S58_L006_R2_001.fastq.gz,stress_rep1,True
4,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/stress_rep2_S59_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/stress_rep2_S59_L006_R2_001.fastq.gz,stress_rep2,True
5,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/nostress_rep1_S56_L006_R1_001.fastq.gz,/tscc/nfs/home/mgosztyl/seqdata/20240418_seq_results/igm-storage.ucsd.edu/240415_LH00444_0092_A227CY2LT4/FASTQ/nostress_rep1_S56_L006_R2_001.fastq.gz,nostress_rep1,True
