,Sample,fastq1,fastq2,Rnase
34,THOC1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rz_S29_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/THOC1_rz_S29_L004_R2_001.fastq.gz,False
36,siDDX19A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX19A_rz_S53_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siDDX19A_rz_S53_L004_R2_001.fastq.gz,False
37,HEK_arr,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_arr_S57_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_arr_S57_L004_R2_001.fastq.gz,True
40,HEK_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_rz_S56_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/HEK_rz_S56_L004_R2_001.fastq.gz,False
42,siTOB2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rz_S52_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTOB2_rz_S52_L004_R2_001.fastq.gz,False
43,siANXA2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rz_S46_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siANXA2_rz_S46_L004_R2_001.fastq.gz,False
44,DCP1A_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rz_S31_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DCP1A_rz_S31_L004_R2_001.fastq.gz,False
48,DDX52_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rz_S35_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/DDX52_rz_S35_L004_R2_001.fastq.gz,False
49,siNT_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rz_S55_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siNT_rz_S55_L004_R2_001.fastq.gz,False
51,siG3BP2_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rz_S51_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siG3BP2_rz_S51_L004_R2_001.fastq.gz,False
52,siTHOC1_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rz_S42_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/siTHOC1_rz_S42_L004_R2_001.fastq.gz,False
54,LARP4_rz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rz_S32_L004_R1_001.fastq.gz,/home/tayu/seqdata/tao/circRNA_seq/rbpcandidate/igm-storage.ucsd.edu/230110_A01535_0257_AHNKYHDSX5/LARP4_rz_S32_L004_R2_001.fastq.gz,False
